Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,9.240000,9.250000,9.100000,9.250000,6.297335,1800
2008-01-03,9.330000,9.390000,9.200000,9.200000,6.263297,12500
2008-01-04,9.200000,9.350000,9.040000,9.350000,6.365416,12900
2008-01-07,9.320000,9.340000,9.230000,9.230000,6.283720,2200
2008-01-08,9.190000,9.250000,9.150000,9.150000,6.229255,2100
2008-01-09,9.250000,9.280000,9.150000,9.230000,6.283720,6600
2008-01-10,9.050000,9.130000,9.050000,9.050000,6.161178,1700
2008-01-11,9.050000,9.130000,9.000000,9.000000,6.127137,9900
2008-01-14,8.950000,9.150000,8.950000,9.100000,6.195218,4400
2008-01-15,9.050000,9.100000,9.050000,9.100000,6.195218,400
2008-01-16,9.140000,9.210000,9.000000,9.130000,6.215640,8900
2008-01-17,9.010000,9.090000,9.000000,9.000000,6.127137,4400
2008-01-18,9.050000,9.090000,8.750000,8.790000,5.984170,27400
2008-01-22,8.440000,8.750000,8.440000,8.600000,5.854820,10300
2008-01-23,8.200000,8.490000,8.000000,8.400000,5.718662,4900
2008-01-24,8.330000,8.460000,8.330000,8.460000,5.759510,1600
2008-01-25,8.740000,8.750000,8.380000,8.750000,5.956938,4100
2008-01-28,8.470000,8.880000,8.470000,8.880000,6.045443,2600
2008-01-29,8.810000,8.880000,8.810000,8.820000,6.004594,400
2008-01-30,8.800000,9.110000,8.760000,9.000000,6.127137,9600
2008-01-31,8.970000,9.150000,8.950000,9.070000,6.174793,8700
2008-02-01,9.040000,9.090000,9.000000,9.090000,6.188410,4800
2008-02-04,9.060000,9.120000,9.050000,9.050000,6.161178,2000
2008-02-05,9.050000,9.070000,9.050000,9.060000,6.167985,3100
2008-02-06,9.050000,9.120000,9.040000,9.120000,6.208832,3100
2008-02-07,9.060000,9.150000,9.050000,9.140000,6.222449,3000
2008-02-08,9.000000,9.190000,8.920000,9.100000,6.195218,2600
2008-02-11,9.100000,9.120000,9.100000,9.100000,6.195218,600
2008-02-12,9.020000,9.120000,9.010000,9.120000,6.208832,1700
2008-02-13,9.090000,9.120000,8.920000,8.920000,6.072674,4600
2008-02-14,8.920000,8.920000,8.920000,8.920000,6.072674,0
2008-02-15,9.000000,9.100000,9.000000,9.000000,6.127137,21500
2008-02-19,9.050000,9.140000,9.000000,9.000000,6.127137,16700
2008-02-20,8.820000,8.940000,8.800000,8.800000,5.990981,2300
2008-02-21,8.750000,8.990000,8.750000,8.990000,6.120329,1800
2008-02-22,9.000000,9.140000,8.970000,9.060000,6.167985,2000
2008-02-25,8.910000,9.040000,8.900000,9.000000,6.127137,2000
2008-02-26,8.980000,9.090000,8.980000,9.090000,6.188410,5400
2008-02-27,9.060000,9.090000,9.000000,9.080000,6.181599,2500
2008-02-28,9.010000,9.080000,9.010000,9.080000,6.181599,500
2008-02-29,9.020000,9.100000,8.980000,9.100000,6.195218,28600
2008-03-03,9.030000,9.090000,9.000000,9.050000,6.161178,8700
2008-03-04,9.030000,9.100000,9.030000,9.100000,6.195218,800
2008-03-05,9.000000,9.140000,8.980000,9.090000,6.188410,13400
2008-03-06,9.110000,9.120000,9.060000,9.060000,6.167985,1400
2008-03-07,9.020000,9.110000,9.000000,9.080000,6.181599,1700
2008-03-10,9.150000,9.150000,9.050000,9.100000,6.195218,900
2008-03-11,9.110000,9.120000,9.010000,9.100000,6.195218,1200
2008-03-12,8.850000,9.050000,8.420000,9.000000,6.300219,3900
2008-03-13,9.010000,9.040000,8.910000,8.970000,6.279220,1100
2008-03-14,8.980000,8.980000,8.930000,8.930000,6.251218,500
2008-03-17,8.700000,8.700000,8.500000,8.650000,6.055212,2100
2008-03-18,8.860000,8.960000,8.100000,8.950000,6.265220,5200
2008-03-19,8.930000,9.000000,8.930000,8.980000,6.286220,2000
2008-03-20,8.850000,8.850000,8.800000,8.850000,6.195217,1700
2008-03-24,8.960000,8.990000,8.950000,8.950000,6.265220,9200
2008-03-25,9.020000,9.140000,9.000000,9.000000,6.300219,8700
2008-03-26,8.800000,8.950000,8.800000,8.910000,6.237218,4900
2008-03-27,8.840000,8.920000,8.840000,8.920000,6.244217,1100
2008-03-28,8.920000,8.920000,8.920000,8.920000,6.244217,400
2008-03-31,8.920000,8.990000,8.700000,8.990000,6.293220,10300
2008-04-01,8.830000,8.870000,8.830000,8.870000,6.209217,300
2008-04-02,8.870000,8.970000,8.870000,8.970000,6.279220,1200
2008-04-03,8.910000,9.070000,8.910000,9.060000,6.342222,4400
2008-04-04,8.950000,9.000000,8.950000,8.950000,6.265220,15400
2008-04-07,8.890000,9.000000,8.890000,8.950000,6.265220,800
2008-04-08,8.980000,9.000000,8.740000,8.910000,6.237218,7200
2008-04-09,8.870000,8.950000,8.850000,8.940000,6.258219,5300
2008-04-10,8.810000,8.890000,8.800000,8.800000,6.160217,2100
2008-04-11,8.500000,8.750000,8.160000,8.460000,5.922207,20000
2008-04-14,7.720000,8.120000,7.720000,8.000000,5.600195,5600
2008-04-15,8.280000,8.390000,8.250000,8.250000,5.775202,3100
2008-04-16,8.250000,8.620000,7.890000,8.370000,5.859204,12600
2008-04-17,8.140000,8.360000,8.140000,8.160000,5.712199,2700
2008-04-18,8.270000,8.360000,8.020000,8.220000,5.754202,171200
2008-04-21,8.060000,8.330000,7.860000,8.110000,5.677197,13700
2008-04-22,8.090000,8.200000,8.040000,8.050000,5.635197,22300
2008-04-23,8.100000,8.100000,8.100000,8.100000,5.670198,200
2008-04-24,8.060000,8.070000,7.960000,8.060000,5.642198,1200
2008-04-25,7.950000,8.030000,7.950000,8.030000,5.621195,300
2008-04-28,8.000000,8.000000,7.250000,7.270000,5.089179,69000
2008-04-29,7.180000,7.270000,6.810000,6.850000,4.795168,18200
2008-04-30,6.900000,6.960000,6.900000,6.900000,4.830169,2900
2008-05-01,6.890000,6.950000,6.800000,6.850000,4.795168,32700
2008-05-02,6.840000,6.850000,6.370000,6.540000,4.578161,18300
2008-05-05,6.460000,6.670000,6.300000,6.450000,4.515159,22400
2008-05-06,6.480000,6.540000,6.400000,6.510000,4.557158,4300
2008-05-07,6.400000,6.520000,6.350000,6.350000,4.445156,4600
2008-05-08,6.310000,6.480000,6.300000,6.480000,4.536159,9800
2008-05-09,6.400000,6.490000,6.320000,6.360000,4.452156,3100
2008-05-12,6.360000,6.670000,6.270000,6.270000,4.389153,2200
